depth,drive_kind,seed,test_acc,final_test_acc,eff_dim,lambda_input_var,n_params
1,constant,1,81.802,80.477,0.0,0.0,0
1,constant,2,82.597,82.597,0.0,0.0,0
1,constant,3,81.449,76.59,0.0,0.0,0
1,mlp,1,79.152,75.442,0.4859,0.0,16
1,mlp,2,80.3,71.996,0.3244,0.0,16
1,mlp,3,75.353,73.101,0.4871,0.0,16
1,pqc,1,78.313,77.827,0.4927,0.0,8
1,pqc,2,80.168,79.594,0.4835,0.0,8
1,pqc,3,81.184,80.212,0.485,0.0,8
2,mlp,1,79.152,75.442,0.4859,0.0,16
2,mlp,2,80.3,71.996,0.3244,0.0,16
2,mlp,3,75.353,73.101,0.4871,0.0,16
2,pqc,1,79.682,79.417,0.4608,0.000408,16
2,pqc,2,79.461,78.666,0.4647,0.000938,16
2,pqc,3,78.18,75.088,0.4591,0.00046,16
4,mlp,1,80.389,79.505,0.4951,0.0,32
4,mlp,2,79.947,76.546,0.5487,0.0,32
4,mlp,3,76.634,75.442,0.507,0.0,32
4,pqc,1,79.417,75.398,0.5849,0.000743,32
4,pqc,2,80.919,78.489,0.5757,0.000474,32
4,pqc,3,81.758,80.212,0.5839,0.000778,32
2,constant,1,81.802,80.477,0.0,0.0,0
2,constant,2,82.597,82.597,0.0,0.0,0
2,constant,3,81.449,76.59,0.0,0.0,0
4,constant,1,81.802,80.477,0.0,0.0,0
4,constant,2,82.597,82.597,0.0,0.0,0
4,constant,3,81.449,76.59,0.0,0.0,0
